"WOCHENTAG","DATUM","VON","BIS","DAUER_IN_MINUTEN","LV_NUMMER","TITEL","LV_ART","LV_GRUPPE","ORT","EREIGNIS_TYP","TERMIN_TYP","VORTRAGENDER_KONTAKTPERSON","ANMERKUNG"
"MI","07.06.2023","18:30","21:00","150","1201562","Datenstrukturen und Algorithmen (Globalübung)","UE","Standardgruppe","Großer Hörsaal AM (1420|210)","Abhaltung","fix","","Präsenzübung"
"MI","07.06.2023","18:30","21:00","150","1201562","Datenstrukturen und Algorithmen (Globalübung)","UE","Standardgruppe","H02 (1385|102)","Abhaltung","fix","","Präsenzübung"
"MI","07.06.2023","18:30","21:30","180","1201562","Datenstrukturen und Algorithmen (Globalübung)","UE","Standardgruppe","HKW 2 (1132|303)","Abhaltung","fix","","Präsenzübung"
"FR","09.06.2023","08:30","10:00","90","1200806","Formale Systeme, Automaten, Prozesse","VO","Standardgruppe","H02 (1385|102)","Abhaltung","fix","",""
"FR","09.06.2023","12:30","14:00","90","1238942","Betriebssysteme und Systemsoftware (Vorlesung)","VO","Standardgruppe","H01 (1385|101)","Abhaltung","fix","",""
"FR","09.06.2023","14:30","16:00","90","1220193","Formale Systeme, Automaten, Prozesse - Tutorium","TU","Gruppe 23","S16 (1385|216)","Abhaltung","fix","",""
"FR","09.06.2023","16:30","18:00","90","1240982","Datenstrukturen und Algorithmen (Tutorien)","TU","Tutorium 27","S11 (1385|211)","Abhaltung","fix","",""
"DI","13.06.2023","10:30","12:00","90","1203999","Datenstrukturen und Algorithmen","VO","Standardgruppe","Großer Hörsaal AM (1420|210)","Abhaltung","fix","",""
"DI","13.06.2023","12:30","14:00","90","1107393","Lineare Algebra I für Informatiker","VO","Standardgruppe","H02 (1385|102)","Abhaltung","fix","",""
"DI","13.06.2023","14:30","16:00","90","1200806","Formale Systeme, Automaten, Prozesse","VO","Standardgruppe","AachenMünchener Halle (Aula) (1010|131)","Abhaltung","fix","",""
"DI","13.06.2023","16:30","18:00","90","1242355","Betriebssysteme und Systemsoftware (Globalübung)","UE","Standardgruppe","TEMP1 (1515|001)","Abhaltung","fix","",""
"MI","14.06.2023","12:30","14:00","90","1201562","Datenstrukturen und Algorithmen (Globalübung)","UE","Standardgruppe","Grüner Hörsaal AM (Gr) (1420|001)","Abhaltung","fix","",""
"DO","15.06.2023","12:30","14:00","90","1238942","Betriebssysteme und Systemsoftware (Vorlesung)","VO","Standardgruppe","H02 (1385|102)","Abhaltung","fix","",""
"DO","15.06.2023","14:30","16:00","90","1107393","Lineare Algebra I für Informatiker","VO","Standardgruppe","TEMP2 (1515|002)","Abhaltung","fix","",""
"DO","15.06.2023","16:30","18:00","90","1203999","Datenstrukturen und Algorithmen","VO","Standardgruppe","H01 (1385|101)","Abhaltung","fix","",""
"DO","15.06.2023","18:30","20:00","90","1238953","Proseminar: Fortgeschrittene Programmierkonzepte","PS","Standardgruppe","AH VI (2356|051)","Abhaltung","fix","",""
"FR","16.06.2023","08:30","10:00","90","1200806","Formale Systeme, Automaten, Prozesse","VO","Standardgruppe","H02 (1385|102)","Abhaltung","fix","",""
"FR","16.06.2023","12:30","14:00","90","1238942","Betriebssysteme und Systemsoftware (Vorlesung)","VO","Standardgruppe","H01 (1385|101)","Abhaltung","fix","",""
"FR","16.06.2023","14:30","16:00","90","1220193","Formale Systeme, Automaten, Prozesse - Tutorium","TU","Gruppe 23","S16 (1385|216)","Abhaltung","fix","",""
"FR","16.06.2023","16:30","18:00","90","1240982","Datenstrukturen und Algorithmen (Tutorien)","TU","Tutorium 27","S11 (1385|211)","Abhaltung","fix","",""
"DI","20.06.2023","10:30","12:00","90","1203999","Datenstrukturen und Algorithmen","VO","Standardgruppe","Großer Hörsaal AM (1420|210)","Abhaltung","fix","",""
"DI","20.06.2023","12:30","14:00","90","1107393","Lineare Algebra I für Informatiker","VO","Standardgruppe","H02 (1385|102)","Abhaltung","fix","",""
"DI","20.06.2023","14:30","16:00","90","1200806","Formale Systeme, Automaten, Prozesse","VO","Standardgruppe","AachenMünchener Halle (Aula) (1010|131)","Abhaltung","fix","",""
"DI","20.06.2023","16:30","18:00","90","1242355","Betriebssysteme und Systemsoftware (Globalübung)","UE","Standardgruppe","TEMP1 (1515|001)","Abhaltung","fix","",""
"MI","21.06.2023","12:30","14:00","90","1201562","Datenstrukturen und Algorithmen (Globalübung)","UE","Standardgruppe","Grüner Hörsaal AM (Gr) (1420|001)","Abhaltung","fix","",""
"DO","22.06.2023","12:30","14:00","90","1238942","Betriebssysteme und Systemsoftware (Vorlesung)","VO","Standardgruppe","H02 (1385|102)","Abhaltung","fix","",""
"DO","22.06.2023","14:30","16:00","90","1107393","Lineare Algebra I für Informatiker","VO","Standardgruppe","TEMP2 (1515|002)","Abhaltung","fix","",""
"DO","22.06.2023","16:30","18:00","90","1203999","Datenstrukturen und Algorithmen","VO","Standardgruppe","H01 (1385|101)","Abhaltung","fix","",""
"DO","22.06.2023","18:30","20:00","90","1238953","Proseminar: Fortgeschrittene Programmierkonzepte","PS","Standardgruppe","AH VI (2356|051)","Abhaltung","fix","",""
"FR","23.06.2023","08:30","10:00","90","1200806","Formale Systeme, Automaten, Prozesse","VO","Standardgruppe","H02 (1385|102)","Abhaltung","fix","",""
"FR","23.06.2023","12:30","14:00","90","1238942","Betriebssysteme und Systemsoftware (Vorlesung)","VO","Standardgruppe","H01 (1385|101)","Abhaltung","fix","",""
"FR","23.06.2023","14:30","16:00","90","1220193","Formale Systeme, Automaten, Prozesse - Tutorium","TU","Gruppe 23","S16 (1385|216)","Abhaltung","fix","",""
"FR","23.06.2023","16:30","18:00","90","1240982","Datenstrukturen und Algorithmen (Tutorien)","TU","Tutorium 27","S11 (1385|211)","Abhaltung","fix","",""
"DI","27.06.2023","10:30","12:00","90","1203999","Datenstrukturen und Algorithmen","VO","Standardgruppe","Großer Hörsaal AM (1420|210)","Abhaltung","fix","",""
"DI","27.06.2023","12:30","14:00","90","1107393","Lineare Algebra I für Informatiker","VO","Standardgruppe","H02 (1385|102)","Abhaltung","fix","",""
"DI","27.06.2023","14:30","16:00","90","1200806","Formale Systeme, Automaten, Prozesse","VO","Standardgruppe","AachenMünchener Halle (Aula) (1010|131)","Abhaltung","fix","",""
"DI","27.06.2023","16:30","18:00","90","1242355","Betriebssysteme und Systemsoftware (Globalübung)","UE","Standardgruppe","TEMP1 (1515|001)","Abhaltung","fix","",""
"MI","28.06.2023","12:30","14:00","90","1201562","Datenstrukturen und Algorithmen (Globalübung)","UE","Standardgruppe","Grüner Hörsaal AM (Gr) (1420|001)","Abhaltung","fix","",""
"DO","29.06.2023","12:30","14:00","90","1238942","Betriebssysteme und Systemsoftware (Vorlesung)","VO","Standardgruppe","H02 (1385|102)","Abhaltung","fix","",""
"DO","29.06.2023","14:30","16:00","90","1107393","Lineare Algebra I für Informatiker","VO","Standardgruppe","TEMP2 (1515|002)","Abhaltung","fix","",""
"DO","29.06.2023","16:30","18:00","90","1203999","Datenstrukturen und Algorithmen","VO","Standardgruppe","H01 (1385|101)","Abhaltung","fix","",""
"DO","29.06.2023","18:30","20:00","90","1238953","Proseminar: Fortgeschrittene Programmierkonzepte","PS","Standardgruppe","AH VI (2356|051)","Abhaltung","fix","",""
"FR","30.06.2023","08:30","10:00","90","1200806","Formale Systeme, Automaten, Prozesse","VO","Standardgruppe","H02 (1385|102)","Abhaltung","fix","",""
"FR","30.06.2023","12:30","14:00","90","1238942","Betriebssysteme und Systemsoftware (Vorlesung)","VO","Standardgruppe","H01 (1385|101)","Abhaltung","fix","",""
"FR","30.06.2023","14:30","16:00","90","1220193","Formale Systeme, Automaten, Prozesse - Tutorium","TU","Gruppe 23","S16 (1385|216)","Abhaltung","fix","",""
"FR","30.06.2023","16:30","18:00","90","1240982","Datenstrukturen und Algorithmen (Tutorien)","TU","Tutorium 27","S11 (1385|211)","Abhaltung","fix","",""
"DI","04.07.2023","10:30","12:00","90","1203999","Datenstrukturen und Algorithmen","VO","Standardgruppe","Großer Hörsaal AM (1420|210)","Abhaltung","fix","",""
"DI","04.07.2023","12:30","14:00","90","1107393","Lineare Algebra I für Informatiker","VO","Standardgruppe","H02 (1385|102)","Abhaltung","fix","",""
"DI","04.07.2023","14:30","16:00","90","1200806","Formale Systeme, Automaten, Prozesse","VO","Standardgruppe","AachenMünchener Halle (Aula) (1010|131)","Abhaltung","fix","",""
"DI","04.07.2023","16:30","18:00","90","1242355","Betriebssysteme und Systemsoftware (Globalübung)","UE","Standardgruppe","TEMP1 (1515|001)","Abhaltung","fix","",""
"MI","05.07.2023","12:30","14:00","90","1201562","Datenstrukturen und Algorithmen (Globalübung)","UE","Standardgruppe","Grüner Hörsaal AM (Gr) (1420|001)","Abhaltung","fix","",""
"DO","06.07.2023","12:30","14:00","90","1238942","Betriebssysteme und Systemsoftware (Vorlesung)","VO","Standardgruppe","H02 (1385|102)","Abhaltung","fix","",""
"DO","06.07.2023","14:30","16:00","90","1107393","Lineare Algebra I für Informatiker","VO","Standardgruppe","TEMP2 (1515|002)","Abhaltung","fix","",""
"DO","06.07.2023","16:30","18:00","90","1203999","Datenstrukturen und Algorithmen","VO","Standardgruppe","H01 (1385|101)","Abhaltung","fix","",""
"DO","06.07.2023","18:30","20:00","90","1238953","Proseminar: Fortgeschrittene Programmierkonzepte","PS","Standardgruppe","AH VI (2356|051)","Abhaltung","fix","",""
"FR","07.07.2023","08:30","10:00","90","1200806","Formale Systeme, Automaten, Prozesse","VO","Standardgruppe","H02 (1385|102)","Abhaltung","fix","",""
"FR","07.07.2023","12:30","14:00","90","1238942","Betriebssysteme und Systemsoftware (Vorlesung)","VO","Standardgruppe","H01 (1385|101)","Abhaltung","fix","",""
"FR","07.07.2023","14:30","16:00","90","1220193","Formale Systeme, Automaten, Prozesse - Tutorium","TU","Gruppe 23","S16 (1385|216)","Abhaltung","fix","",""
"FR","07.07.2023","16:30","18:00","90","1240982","Datenstrukturen und Algorithmen (Tutorien)","TU","Tutorium 27","S11 (1385|211)","Abhaltung","fix","",""
"DI","11.07.2023","10:30","12:00","90","1203999","Datenstrukturen und Algorithmen","VO","Standardgruppe","Großer Hörsaal AM (1420|210)","Abhaltung","fix","",""
"DI","11.07.2023","12:30","14:00","90","1107393","Lineare Algebra I für Informatiker","VO","Standardgruppe","H02 (1385|102)","Abhaltung","fix","",""
